DATE,PRICE
12/31/1969,12592.43816
1/30/1970,12496.35219
2/27/1970,12529.95188
3/31/1970,12627.64624
4/30/1970,12858.35769
5/29/1970,12757.88483
6/30/1970,12764.71531
7/31/1970,12728.16415
8/31/1970,12799.91765
9/30/1970,13018.65517
10/30/1970,13341.25016
11/30/1970,13403.92856
12/31/1970,13239.03264
1/29/1971,13613.2104
2/26/1971,13867.10448
3/31/1971,13892.94658
4/30/1971,14188.37692
5/31/1971,14594.97987
6/30/1971,14328.74064
7/30/1971,15153.73633
8/31/1971,13538.97924
9/30/1971,14059.41333
10/29/1971,13957.50144
11/30/1971,14250.07783
12/31/1971,13691.4779
1/31/1972,14624.17151
2/29/1972,14619.79982
3/31/1972,14695.63663
4/28/1972,15092.19047
5/31/1972,18096.15119
6/30/1972,19085.51651
7/31/1972,20559.6918
8/31/1972,20090.92243
9/29/1972,19326.33602
10/31/1972,19410.67892
11/30/1972,19127.30893
12/29/1972,19568.19742
1/31/1973,19897.07381
2/28/1973,22585.6306
3/30/1973,23834.2248
4/30/1973,24145.46736
5/31/1973,30392.77922
6/29/1973,32263.27701
7/31/1973,30535.41385
8/31/1973,27419.58873
9/28/1973,26534.94252
10/31/1973,26098.24108
11/30/1973,28232.64235
12/31/1973,31384.57875
1/31/1974,39453.8853
2/28/1974,46802.4562
3/29/1974,47602.09754
4/30/1974,47234.18347
5/31/1974,44183.03408
6/28/1974,41041.61473
7/31/1974,46668.94272
8/30/1974,47254.40549
9/30/1974,45131.84239
10/31/1974,50150.83476
11/29/1974,55215.86136
12/31/1974,56029.39808
1/31/1975,52492.52827
2/28/1975,52067.51161
3/31/1975,51834.86084
4/30/1975,48788.11989
5/30/1975,48777.5882
6/30/1975,49565.2595
7/31/1975,49794.25142
8/29/1975,47625.80771
9/30/1975,42800.93605
10/31/1975,43162.36519
11/28/1975,41975.68747
12/31/1975,42788.35143
1/30/1976,38950.0462
2/27/1976,40006.81655
3/31/1976,38873.2404
4/30/1976,38474.65435
5/31/1976,37717.83804
6/30/1976,36897.27413
7/30/1976,33015.96982
8/31/1976,30015.2195
9/30/1976,33347.41433
10/29/1976,36300.5519
11/30/1976,38700.64624
12/31/1976,39440.30494
1/31/1977,38185.74983
2/28/1977,40377.0114
3/31/1977,41380.3866
4/29/1977,40936.1181
5/31/1977,39666.75625
6/30/1977,38285.79233
7/29/1977,38493.04234
8/31/1977,39036.11299
9/30/1977,40680.98282
10/31/1977,40276.30716
11/30/1977,39109.66096
12/30/1977,39538.09642
1/31/1978,42495.47366
2/28/1978,43462.14916
3/31/1978,40096.06949
4/28/1978,38241.67073
5/31/1978,40838.53952
6/30/1978,37298.90225
7/31/1978,37789.8942
8/31/1978,39731.93525
9/29/1978,41080.4021
10/31/1978,43492.64885
11/30/1978,38590.52323
12/29/1978,43893.74465
1/31/1979,47327.21344
2/28/1979,50918.24541
3/30/1979,50379.20759
4/30/1979,54567.22078
5/31/1979,60506.23361
6/29/1979,60400.84714
7/31/1979,64222.08159
8/31/1979,69384.93073
9/28/1979,89144.58657
10/31/1979,90807.87755
11/30/1979,103747.2087
12/31/1979,122753.2439
1/31/1980,156299.3934
2/29/1980,160301.0078
3/31/1980,123625.0253
4/30/1980,123852.2134
5/30/1980,119317.2476
6/30/1980,143581.4437
7/31/1980,139733.4439
8/29/1980,138287.6281
9/30/1980,140611.0098
10/31/1980,132821.8977
11/28/1980,134174.0465
12/31/1980,119873.9125
1/30/1981,104745.2003
2/27/1981,102568.0751
3/31/1981,108495.295
4/30/1981,104139.2217
5/29/1981,107310.3419
6/30/1981,96652.77462
7/31/1981,97559.14121
8/31/1981,97458.08666
9/30/1981,99645.86407
10/30/1981,99518.61778
11/30/1981,88783.57124
12/31/1981,87350.1215
1/29/1982,88366.04914
2/26/1982,85797.72271
3/31/1982,79371.51106
4/30/1982,85177.73644
5/31/1982,79200.79574
6/30/1982,80809.08789
7/30/1982,88289.82377
8/31/1982,107608.4475
9/30/1982,106483.7453
10/29/1982,117233.061
11/30/1982,109033.5782
12/31/1982,107339.8052
1/31/1983,119945.7628
2/28/1983,97069.40714
3/31/1983,99109.4856
4/29/1983,102120.6296
5/31/1983,104637.36
6/30/1983,99037.92578
7/29/1983,102048.7851
8/31/1983,102037.5838
9/30/1983,95501.07939
10/31/1983,89401.56121
11/30/1983,94067.21509
12/30/1983,88651.44509
1/31/1984,87803.93122
2/29/1984,92049.06685
3/30/1984,87261.11366
4/30/1984,85317.52804
5/31/1984,89025.08414
6/29/1984,88552.94225
7/31/1984,83983.72859
8/31/1984,84168.28325
9/28/1984,84476.23806
10/31/1984,81941.05089
11/30/1984,81426.12999
12/31/1984,77540.561
1/31/1985,78085.9468
2/28/1985,74735.07472
3/29/1985,82478.90229
4/30/1985,80887.15999
5/31/1985,78835.60187
6/28/1985,78952.47516
7/31/1985,77544.38899
8/30/1985,79544.61803
9/30/1985,70455.93963
10/31/1985,68753.76919
11/29/1985,65726.52995
12/31/1985,65450.4627
1/31/1986,67594.74289
2/28/1986,60993.19417
3/31/1986,61718.3996
4/30/1986,57680.74351
5/30/1986,59899.75999
6/30/1986,56735.82745
7/31/1986,54972.42082
8/29/1986,59443.07026
9/30/1986,65322.5533
10/31/1986,65478.19133
11/28/1986,63105.32059
12/31/1986,61492.06583
1/30/1987,61523.85478
2/27/1987,62150.70001
3/31/1987,61445.0331
4/30/1987,63736.16515
5/29/1987,64952.37206
6/30/1987,65632.63235
7/31/1987,69287.92816
8/31/1987,64394.79264
9/30/1987,67278.38725
10/30/1987,64725.47568
11/30/1987,65203.71601
12/31/1987,58756.86319
1/29/1988,58543.80171
2/29/1988,54725.52604
3/31/1988,56695.20786
4/29/1988,56080.2528
5/31/1988,56984.01272
6/30/1988,58274.85711
7/29/1988,58095.27583
8/31/1988,58358.47561
9/30/1988,53135.74202
10/31/1988,51768.65144
11/30/1988,51497.6275
12/30/1988,51252.95576
1/31/1989,51430.45651
2/28/1989,49082.16438
3/31/1989,50737.67952
4/28/1989,50127.66892
5/31/1989,51480.31333
6/30/1989,53698.52258
7/31/1989,50443.75759
8/31/1989,52020.63695
9/29/1989,51173.84626
10/31/1989,53571.85013
11/30/1989,58335.06222
12/29/1989,57287.20272
1/31/1990,59972.28344
2/28/1990,60672.52259
3/30/1990,57987.09159
4/30/1990,58375.69814
5/31/1990,55420.90231
6/29/1990,53602.28185
7/31/1990,54393.81215
8/31/1990,55780.68257
9/28/1990,56458.8108
10/31/1990,49292.09464
11/30/1990,51243.86806
12/31/1990,52377.16121
1/31/1991,48101.56967
2/28/1991,48220.78419
