"Date","Price","Open","High","Low","Change %"
"Jun 29, 2018","305.500","305.950","314.750","305.500","0.00%"
"Jun 28, 2018","305.500","305.950","314.750","305.500","-0.08%"
"Jun 27, 2018","305.750","305.950","314.750","305.550","0.07%"
"Jun 26, 2018","305.550","305.950","315.250","305.550","-2.92%"
"Jun 25, 2018","314.750","314.750","314.750","305.950","-12.57%"
"Jun 24, 2018","360.000","360.000","360.000","360.000","14.38%"
"Jun 22, 2018","314.750","305.950","314.750","305.950","0.00%"
"Jun 21, 2018","314.750","305.950","315.250","305.950","0.00%"
"Jun 20, 2018","314.750","305.950","314.750","305.950","2.88%"
"Jun 19, 2018","305.950","314.750","314.750","305.950","-2.95%"
"Jun 18, 2018","315.250","315.250","315.250","315.250","-12.55%"
"Jun 17, 2018","360.500","360.500","360.500","360.500","14.35%"
"Jun 15, 2018","315.250","315.250","315.250","315.250","0.00%"
"Jun 14, 2018","315.250","314.750","315.250","305.700","2.96%"
"Jun 13, 2018","306.200","305.950","306.200","305.950","-2.87%"
"Jun 12, 2018","315.250","314.750","315.250","314.750","3.04%"
"Jun 11, 2018","305.950","314.750","315.250","305.750","-15.25%"
"Jun 10, 2018","361.000","361.000","361.000","361.000","18.09%"
"Jun 08, 2018","305.700","306.200","315.250","305.700","-0.16%"
"Jun 07, 2018","306.200","314.750","314.750","305.750","0.08%"
"Jun 06, 2018","305.950","314.750","314.750","305.700","0.07%"
"Jun 05, 2018","305.750","315.250","315.250","305.750","0.00%"
"Jun 04, 2018","305.750","314.750","314.750","305.700","-15.19%"
"Jun 03, 2018","360.500","360.500","360.500","360.500","17.91%"
"Jun 01, 2018","305.750","306.200","315.250","305.750","-0.07%"
"May 31, 2018","305.950","314.750","314.750","305.950","-2.80%"
"May 30, 2018","314.750","314.750","314.750","306.150","2.98%"
"May 29, 2018","305.650","305.650","305.650","305.650","0.00%"
"May 28, 2018","305.650","305.950","315.250","305.650","-15.33%"
"May 27, 2018","361.000","361.000","361.000","361.000","18.11%"
"May 25, 2018","305.650","314.750","314.750","305.650","-3.05%"
"May 24, 2018","315.250","315.250","315.250","305.950","3.14%"
"May 23, 2018","305.650","315.250","315.250","305.600","0.02%"
"May 22, 2018","305.600","314.750","315.250","305.600","0.00%"
"May 21, 2018","305.600","314.750","314.750","305.600","0.00%"
"May 18, 2018","305.600","314.750","315.250","305.550","-2.75%"
"May 17, 2018","314.250","314.750","314.750","306.050","2.83%"
"May 16, 2018","305.600","314.750","314.750","305.600","0.02%"
"May 15, 2018","305.550","314.250","314.750","305.550","0.00%"
"May 14, 2018","305.550","314.750","314.750","305.500","-0.15%"
"May 11, 2018","306.000","314.750","314.750","305.850","0.16%"
"May 10, 2018","305.500","314.750","314.750","305.500","0.00%"
"May 09, 2018","305.500","315.250","315.250","305.450","0.00%"
"May 08, 2018","305.500","314.750","315.250","305.500","0.00%"
"May 07, 2018","305.500","314.750","314.750","305.450","0.02%"
"May 04, 2018","305.450","314.750","314.750","305.450","0.00%"
"May 03, 2018","305.450","314.750","314.750","305.450","0.00%"
"May 02, 2018","305.450","305.850","314.750","305.450","0.00%"
"May 01, 2018","305.450","305.450","305.450","305.450","0.00%"
"Apr 30, 2018","305.450","314.750","314.750","305.450","0.02%"
"Apr 27, 2018","305.400","314.750","314.750","305.400","0.00%"
"Apr 26, 2018","305.400","314.750","314.750","305.400","0.00%"
"Apr 25, 2018","305.400","314.750","314.750","305.400","0.00%"
"Apr 24, 2018","305.400","305.900","315.000","305.350","-0.15%"
"Apr 23, 2018","305.850","305.850","305.850","305.850","0.16%"
"Apr 20, 2018","305.350","314.750","314.750","305.350","0.00%"
"Apr 19, 2018","305.350","314.750","314.750","305.350","0.00%"
"Apr 18, 2018","305.350","305.850","314.750","305.350","0.00%"
"Apr 17, 2018","305.350","305.850","315.250","305.350","0.00%"
